,date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,year,month,week,weekday,station,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
2,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
3,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
4,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
5,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
6,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,8,1,0,2007,5,22,2,1,88,60,74.0,58,65.0,0.0,9.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.39,30.11,5.8,18,6.5
7,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2007,5,22,2,2,88,65,77.0,59,66.0,0.0,12.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.44,30.09,5.8,16,7.4
8,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0,2007,5,22,2,2,88,65,77.0,59,66.0,0.0,12.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.44,30.09,5.8,16,7.4
9,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,5,22,2,2,88,65,77.0,59,66.0,0.0,12.0,04:21:00,19:17:00,"['BR', 'HZ']",0.0,29.44,30.09,5.8,16,7.4
